# This is a tab delimited spreadsheet (TSV) for all Heimdall messages.						
# The message levels are best practice (b), info (i), warning (w), error (e), and critical (c).						
code	label_en	description_en	label_fr	description_fr	url_en	url_fr
b001	Hard coded dependency path	The ‘exp’ attribute ‘{exp_value}’ in the resources file ‘{resource_path}’ is hard coded. This is less portable and more fragile. Consider using a variable instead.	Chemin de dépendance codé en dur	L’attribut 'exp' '{exp_value}' dans le fichier de ressources '{resource_path}' est codé en dur. Cela est moins portable et plus fragile. Pensez à utiliser une variable à la place.		
b002	SupportInfo is too long	The SupportInfo attribute in the XML ‘{xml_path}’ is ‘{char_count}’ characters long but it should be shorter. The recommended maximum is {max_chars} characters.	SupportInfo est trop long	L'attribut SupportInfo dans le fichier XML '{xml_path}' est '{char_count}’ caractères, mais il devrait être plus courte. Le maximum recommandé est {max_chars}.	https://wiki.cmc.ec.gc.ca/wiki/Maestro/ExpOptions.xml	
b003	SupportInfo has no URL	The SupportInfo attribute in the XML ‘{xml_path}’ should contain a URL. This is the recommended way to provide detailed support status info and troubleshooting steps.	SupportInfo n'a pas de URL	L'attribut SupportInfo dans le fichier XML '{xml_path}' doit contenir une URL. Ceci est la méthode recommandée pour fournir des informations sur l'état de support détaillé et étapes de dépannage.	https://wiki.cmc.ec.gc.ca/wiki/Maestro/ExpOptions.xml	
b004	SupportInfo missing standard substring	The SupportInfo attribute in the XML ‘{xml_path}’ should start with a value like ‘Full Support’. Recommended start strings:\n{substrings}	SupportInfo manquant substring standard	L'attribut SupportInfo dans le fichier XML '{xml_path}’ doit commencer par une valeur comme 'Full Support'. Débuts de textes recommandées:\n{substrings}	https://wiki.cmc.ec.gc.ca/wiki/Maestro/ExpOptions.xml	
b005	Deprecated file or folder	The file or folder ‘{path}’ is deprecated and should be deleted.	Fichier ou un dossier obsolète	Le fichier ou le dossier '{path}' est dépréciée et devrait être supprimé.		
b006	Non-maestro files in maestro folders	The maestro folder ‘{folder}’ should only contain maestro files like tsk, cfg, xml. These files were found:\n{filenames}	Les fichiers non maestro dans des dossiers de maestro	Le dossier maestro '{folder}' ne doit contenir que des fichiers maestro comme tsk, cfg, xml. Ces fichiers ont été trouvés:\n{filenames}	https://wiki.cmc.ec.gc.ca/wiki/Maestro_Files_and_Folders	
b007	Comments in config file	The pseudo-xml section (containing input, executables, and output) of the config file ‘{file_path}’ contains {count} commented lines starting with “##”. These seem to be configuration lines and not comments, and should be removed.	Commentaires dans le fichier de configuration	La section pseudo-xml (contenant ‘input’, ‘executables’, et ‘output’) du fichier de configuration '{file_path}' contient des lignes de commentaires {count} commençant par '##'. Ceux-ci semblent être des lignes de configuration et non des commentaires, et peuvent être supprimés.	https://wiki.cmc.ec.gc.ca/wiki/Maestro/.cfg	
b008	Hidden queue alias used	The value ‘{value}’ for the resource variable ‘{name}’ is a hidden queue alias not easily visible in qstat. Consider using one of these queues instead:\n{queues}	Alias de file d'attente cachés utilisés	La valeur '{value}' pour la variable ressource '{name}' est un alias de file d'attente cachée et pas facilement visible dans qstat. Pensez à utiliser une de ces files d'attente à la place:\n{queues}		
b009	Deprecated attribute in SUBMITS element	The file ‘{xml_path}’ has the attribute ‘type’ in a SUBMITS element. This is deprecated and can be removed.	Attribut obsolète dans l'élément de SUBMITS	Le fichier '{xml_path}' a l'attribut 'type' dans un élément SUBMITS. Ceci est dépréciée et peut être retiré.	https://wiki.cmc.ec.gc.ca/wiki/Maestro/SUBMITS	
b010	Non-standard characters in executable name	The config path ‘{bad}’ in ‘{config_path}’ has non-standard characters that do not match regex ‘{regex}’. This can cause bugs with tools, operating systems, and parsers. Consider renaming them. {dollar_msg}	Caractères non standard dans le nom exécutable	Le chemin de configuration '{bad}’ dans '{config_path}' a des caractères non standard qui ne correspondent pas au regex ‘{regex}'. Cela peut causer des bugs avec les outils, les systèmes d'exploitation et parseurs. Pensez à les renommer. {dollar_msg}	https://regex101.com/	
